                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.92266,                 1.0266,                0.73422,                0.94232,                0.99381,                      1,                  0.995,                 0.7593,                0.99381,                      1,                  0.995,                0.71195,                0.91643,                 1.4711,                 0.7067,                0.90581,              0.0008912,              0.0008912,              0.0008912
                     58,                0.90608,                0.95749,                0.69835,                0.94391,                 0.9932,                      1,                  0.995,                 0.7583,                 0.9932,                      1,                  0.995,                0.72444,                0.93864,                 1.4035,                0.68421,                0.90852,              0.0008714,              0.0008714,              0.0008714
                     59,                0.84641,                0.88757,                 0.7142,                0.93933,                0.99291,                      1,                  0.995,                 0.7849,                0.99291,                      1,                  0.995,                0.73381,                0.88491,                 1.4014,                0.71478,                0.91202,              0.0008516,              0.0008516,              0.0008516
                     60,                0.87276,                0.94975,                0.67562,                0.94373,                0.99409,                      1,                  0.995,                0.78958,                0.99409,                      1,                  0.995,                0.73115,                0.89806,                 1.3805,                0.70103,                0.91094,              0.0008318,              0.0008318,              0.0008318
                     61,                0.92938,                 1.2681,                0.72574,                0.96008,                0.99454,                      1,                  0.995,                0.78547,                0.99454,                      1,                  0.995,                0.70676,                0.93771,                 1.4806,                0.74014,                0.91692,               0.000812,               0.000812,               0.000812
                     62,                 0.8942,                0.93774,                0.71406,                0.94813,                0.99442,                      1,                  0.995,                0.81357,                0.99442,                      1,                  0.995,                0.72999,                0.89279,                 1.4544,                0.72732,                0.90098,              0.0007922,              0.0007922,              0.0007922
                     63,                0.87991,                0.98361,                0.74008,                0.95524,                0.99449,                      1,                  0.995,                0.79977,                0.99449,                      1,                  0.995,                0.74464,                0.82383,                 1.2925,                0.71475,                0.88339,              0.0007724,              0.0007724,              0.0007724
                     64,                0.95687,                 1.0272,                0.70377,                0.98875,                0.99378,                      1,                  0.995,                0.80681,                0.99378,                      1,                  0.995,                0.76731,                0.83709,                 1.2284,                0.72313,                0.88939,              0.0007526,              0.0007526,              0.0007526
                     65,                 0.9529,                 1.0934,                0.74132,                0.93013,                 0.9945,                      1,                  0.995,                0.76433,                 0.9945,                      1,                  0.995,                0.76246,                0.88769,                 1.2525,                0.71399,                0.90842,              0.0007328,              0.0007328,              0.0007328
                     66,                0.90231,                 1.0537,                0.68966,                0.94823,                0.99283,                      1,                  0.995,                0.74736,                0.99283,                      1,                  0.995,                0.74057,                0.93575,                 1.2723,                0.70487,                 0.9204,               0.000713,               0.000713,               0.000713
